2020:08:08:16:04:52	Loc(cityhall_2) IP(187.39.33.68) PC(exr):"/tp 43 47"
2020:08:09:22:08:57	Loc(aresden) IP(179.4.199.43) PC(Otto):"!?"
2020:08:09:22:10:19	Loc(elvine) IP(89.76.44.236) PC(Nivka):"/criticals"
2020:08:09:22:10:22	Loc(aresden) IP(179.4.199.43) PC(Otto):"/who"
2020:08:09:22:11:57	Loc(aresden) IP(179.4.199.43) PC(Otto):"!kull ice wyw ?"
2020:08:09:22:19:04	Loc(elvine) IP(89.76.44.236) PC(Nivka):"/"
2020:08:09:22:19:07	Loc(elvine) IP(89.76.44.236) PC(Nivka):"/who"
2020:08:09:22:41:49	Loc(cityhall_1) IP(179.4.199.43) PC(Otto):"/who"
2020:08:09:22:54:38	Loc(cityhall_1) IP(179.4.199.43) PC(Otto):"/who"
2020:08:09:23:01:16	Loc(cityhall_1) IP(179.4.199.43) PC(Otto):"/who"
2020:08:09:23:06:02	Loc(icebound) IP(179.4.199.43) PC(Otto):"/criticals"
2020:08:09:23:11:47	Loc(icebound) IP(179.4.199.43) PC(Otto):"/who"
