2020:08:02:20:23:47	(68.193.0.242) PC(R00A)	Drop	KlonessWand(MS.20)(1 0 0 0 0)	cityhall_2(48 41)
2020:08:02:21:53:52	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(158 268)
2020:08:02:21:53:59	(181.43.22.115) PC(Alaskalli)	Get	Wizard-Cap(W)(1 19387 17198 8 854200)	elvine(160 260)
2020:08:02:21:54:00	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(159 258)
2020:08:02:21:54:03	(181.43.22.115) PC(Alaskalli)	Get	Wizard-Hat(M)(1 28939 3350 8 823800)	elvine(156 256)
2020:08:02:21:54:24	(181.43.22.115) PC(Alaskalli)	Get	Gold(8690 29766 3897 8 0)	elvine(143 260)
2020:08:02:21:54:39	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(112 242)
2020:08:02:21:54:39	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(112 242)
2020:08:02:21:54:49	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(114 253)
2020:08:02:21:54:58	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(124 235)
2020:08:02:21:54:59	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(124 235)
2020:08:02:21:54:59	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(125 234)
2020:08:02:21:55:12	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(120 225)
2020:08:02:21:55:28	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(115 239)
2020:08:02:21:55:28	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(115 238)
2020:08:02:21:55:30	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(119 233)
2020:08:02:21:56:18	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(136 248)
2020:08:02:21:56:33	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(156 264)
2020:08:02:21:56:33	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(156 264)
2020:08:02:21:56:54	(181.43.22.115) PC(Alaskalli)	Get	ChainMail(W)(1 6065 11623 8 826100)	elvine(120 244)
2020:08:02:21:57:04	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(126 227)
2020:08:02:21:57:10	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(136 225)
2020:08:02:21:57:10	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(136 225)
2020:08:02:21:57:17	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(144 233)
2020:08:02:21:57:28	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(157 244)
2020:08:02:21:57:29	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(157 244)
2020:08:02:21:57:29	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(157 244)
2020:08:02:21:57:34	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(155 246)
